
TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
WRI$_ADV_ADDM_TASKS                                                                                                                       0          0           0
WRI$_ADV_ADDM_INST                                                                                                                        0          0           0
WRI$_ADV_ADDM_FDG                                                                                                                         0          0           0
SCHEDULER$_PROGRAM                                                                                                                       11          2         722
SCHEDULER$_CLASS                                                                                                                         15          1          49
SCHEDULER$_JOB                                                                                                                           23          3         806
SCHEDULER$_SAVED_OIDS                                                                                                                     1          1           4
SCHEDULER$_LWJOB_OBJ                                                                                                                      0          0           0
SCHEDULER$_LIGHTWEIGHT_JOB                                                                                                                0          0           0
SCHEDULER$_JOB_ARGUMENT                                                                                                                   4          1          10
SCHEDULER$_WINDOW                                                                                                                         9          1         192

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SCHEDULER$_PROGRAM_ARGUMENT                                                                                                              25          1          21
SCHEDULER$_SRCQ_INFO                                                                                                                      0          0           0
SCHEDULER$_SRCQ_MAP                                                                                                                       0          0           0
SCHEDULER$_EVTQ_SUB                                                                                                                       0          0           0
SCHEDULER$_EVENT_LOG                                                                                                                   1139         58         329
SCHEDULER$_JOB_RUN_DETAILS                                                                                                              256         13         183
SCHEDULER$_JOB_OUTPUT                                                                                                                    84          5         385
SCHEDULER$_JOB_OUT_ARGS                                                                                                                   0          0           0
SCHEDULER$_WINDOW_DETAILS                                                                                                                 5          5          68
SCHEDULER$_WINDOW_GROUP                                                                                                                   4          1          35
SCHEDULER$_WINGRP_MEMBER                                                                                                                 28          1          10

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SCHEDULER$_SCHEDULE                                                                                                                       4          1          62
SCHEDULER$_CHAIN                                                                                                                          0          0           0
SCHEDULER$_STEP                                                                                                                           0          0           0
SCHEDULER$_STEP_STATE                                                                                                                     0          0           0
SCHEDULER$_GLOBAL_ATTRIBUTE                                                                                                              11          1          21
SCHEDULER$_CREDENTIAL                                                                                                                     0          0           0
SCHEDULER$_RJOB_SRC_DB_INFO                                                                                                               0          0           0
SCHEDULER$_REMOTE_DBS                                                                                                                     0          0           0
SCHEDULER$_REMOTE_JOB_STATE                                                                                                               0          0           0
SCHEDULER$_FILE_WATCHER                                                                                                                   0          0           0
SCHEDULER$_FILEWATCHER_HISTORY                                                                                                            0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SCHEDULER$_FILEWATCHER_RESEND                                                                                                             0          0           0
SCHEDULER$_NOTIFICATION                                                                                                                   0          0           0
SCHEDULER$_DESTINATIONS                                                                                                                   2          1          64
SCHEDULER$_JOB_DESTINATIONS                                                                                                               0          0           0
SCHEDULER$_RESOURCES                                                                                                                      0          0           0
SCHEDULER$_CONSTRAINTS                                                                                                                    0          0           0
SCHEDULER$_CONSTRAINTS_STATS                                                                                                              0          0           0
SCHEDULER$_LISTENERADDRESSES                                                                                                              0          0           0
KU_UTLUSE                                                                                                                                 7          1          72
KU$_USER_MAPPING_VIEW_TBL                                                                                                                 0          0           0
KU_NOEXP_TAB                                                                                                                             93          1          24

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
CRC$_RESULT_CACHE_STATS                                                                                                                   0          0           0
WRI$_DBU_FEATURE_USAGE                                                                                                                  242          5          76
WRI$_DBU_FEATURE_METADATA                                                                                                               242         20         386
WRI$_DBU_HIGH_WATER_MARK                                                                                                                 25          5          38
WRI$_DBU_HWM_METADATA                                                                                                                    25          5         253
WRI$_DBU_USAGE_SAMPLE                                                                                                                     1          5          45
WRI$_DBU_CPU_USAGE                                                                                                                        2          5          35
WRI$_DBU_CPU_USAGE_SAMPLE                                                                                                                 2          5          44
WRI$_ALERT_OUTSTANDING                                                                                                                    0          5           0
WRI$_ALERT_HISTORY                                                                                                                        0          5           0
WRI$_ALERT_THRESHOLD                                                                                                                      4          5          68

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRI$_ALERT_THRESHOLD_LOG                                                                                                                  0          1           0
KET$_AUTOTASK_STATUS                                                                                                                      1          5          84
KET$_CLIENT_CONFIG                                                                                                                        7          5          15
KET$_CLIENT_TASKS                                                                                                                         3          5         165
WRI$_TRACING_ENABLED                                                                                                                      0          0           0
WRI$_AGGREGATION_ENABLED                                                                                                                  0          0           0
WRI$_ADV_SQLT_BINDS                                                                                                                       0          0           0
WRI$_ADV_SQLT_STATISTICS                                                                                                                  0          0           0
WRI$_ADV_SQLT_RTN_PLAN                                                                                                                    0          0           0
WRI$_SQLSET_DEFINITIONS                                                                                                                   0          0           0
WRI$_SQLSET_REFERENCES                                                                                                                    0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRI$_SQLSET_STATEMENTS                                                                                                                    0          0           0
WRI$_SQLSET_PLANS                                                                                                                         0          0           0
WRI$_SQLSET_STATISTICS                                                                                                                    0          0           0
WRI$_SQLSET_MASK                                                                                                                          0          0           0
WRI$_SQLSET_PLAN_LINES                                                                                                                    0          0           0
WRI$_SQLSET_BINDS                                                                                                                         0          0           0
WRI$_SQLSET_WORKSPACE                                                                                                                     0          0           0
WRI$_SQLSET_WORKSPACE_PLANS                                                                                                               0          0           0
WRI$_SQLMON_USAGE                                                                                                                         1          1          12
WRI$_INDEX_USAGE                                                                                                                          0          0           0
UMF$_TOPOLOGY                                                                                                                             0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
UMF$_REGISTRATION                                                                                                                         0          0           0
UMF$_LINK                                                                                                                                 0          0           0
UMF$_SERVICE                                                                                                                              0          0           0
SQL$_DATAPUMP_TBL                                                                                                                         0          0           0
SQL$TEXT_DATAPUMP_TBL                                                                                                                     0          0           0
SQLOBJ$_DATAPUMP_TBL                                                                                                                      0          0           0
SQLOBJ$PLAN_DATAPUMP_TBL                                                                                                                  0          0           0
SQLOBJ$DATA_DATAPUMP_TBL                                                                                                                  0          0           0
SQLOBJ$AUXDATA_DATAPUMP_TBL                                                                                                               0          0           0
WRR$_FILTERS                                                                                                                              0          0           0
WRR$_CAPTURES                                                                                                                             0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRR$_CAPTURE_BUCKETS                                                                                                                      0          0           0
WRR$_CAPTURE_STATS                                                                                                                        0          0           0
WRR$_CAPTURE_UC_GRAPH                                                                                                                     0          0           0
WRR$_CAPTURE_FILES                                                                                                                        0          0           0
WRR$_CAPTURE_SQL_TMP                                                                                                                      0          0           0
WRR$_CAPTURE_SQLTEXT                                                                                                                      0          0           0
WRR$_CAPTURE_LONG_SQLTEXT                                                                                                                 0          0           0
WRR$_REPLAYS                                                                                                                              0          0           0
WRR$_REPLAY_STATS                                                                                                                         0          0           0
WRR$_REPLAY_DIV_SUMMARY                                                                                                                   0          0           0
WRR$_REPLAY_DIVERGENCE                                                                                                                    0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRR$_REPLAY_UC_GRAPH                                                                                                                      0          0           0
WRR$_COMMIT_FIRST_CALL_SCN                                                                                                                0          0           0
WRR$_REPLAY_CALL_INFO                                                                                                                     0          0           0
WRR$_ASREPLAY_DATA                                                                                                                        0          0           0
WRR$_REPLAY_SEQ_DATA                                                                                                                      0          0           0
WRR$_REPLAY_DATA                                                                                                                          0          0           0
WRR$_CONNECTION_MAP                                                                                                                       0          0           0
WRR$_USER_MAP                                                                                                                             0          0           0
WRR$_REPLAY_SQL_TEXT                                                                                                                      0          0           0
WRR$_REPLAY_SQL_BINDS                                                                                                                     0          0           0
WRR$_SEQUENCE_EXCEPTIONS                                                                                                                 36          5          20

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRR$_COMPONENT_TIMING                                                                                                                     0          0           0
WRR$_REPLAY_CALL_FILTER                                                                                                                   0          0           0
WRR$_REPLAY_FILTER_SET                                                                                                                    0          0           0
WRR$_REPLAY_DEP_GRAPH                                                                                                                     0          0           0
WRR$_REPLAY_COMMITS                                                                                                                       0          0           0
WRR$_REPLAY_REFERENCES                                                                                                                    0          0           0
WRR$_REPLAY_DIRECTORY                                                                                                                     0          0           0
WRR$_REPLAY_SCHEDULES                                                                                                                     0          0           0
WRR$_SCHEDULE_CAPTURES                                                                                                                    0          0           0
WRR$_SCHEDULE_ORDERING                                                                                                                    0          0           0
WRR$_FILE_ID_MAP                                                                                                                          0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRR$_WORKLOAD_GROUPS                                                                                                                      0          0           0
WRR$_REPLAY_LOGIN_QUEUE                                                                                                                   0          0           0
WRR$_REPLAY_CONN_DATA                                                                                                                     0          0           0
WRR$_CAPTURE_FILE_DETAILS                                                                                                                 0          0           0
WRR$_REPLAY_FILES                                                                                                                         0          0           0
WRR$_REPLAY_INSTANCES                                                                                                                     0          0           0
WRR$_REPLAY_GROUP_ASSIGNMENTS                                                                                                             0          0           0
WRR$_WORKLOAD_SESSIONS                                                                                                                    0          0           0
WRR$_WORKLOAD_EX_OBJECTS                                                                                                                  0          0           0
WRR$_REPLAY_CLIENTS                                                                                                                       0          0           0
WRR$_REPLAY_TRACKED_COMMITS                                                                                                               0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRR$_WORKLOAD_REPLAY_THREAD                                                                                                               0          0           0
WRR$_REPLAY_SQL_MAP                                                                                                                       0          0           0
WI$_JOB                                                                                                                                   0          0           0
WI$_TEMPLATE                                                                                                                              0          0           0
WI$_STATEMENT                                                                                                                             0          0           0
WI$_OBJECT                                                                                                                                0          0           0
WI$_CAPTURE_FILE                                                                                                                          0          0           0
WI$_EXECUTION_ORDER                                                                                                                       0          0           0
WI$_FREQUENT_PATTERN                                                                                                                      0          0           0
WI$_FREQUENT_PATTERN_ITEM                                                                                                                 0          0           0
WI$_FREQUENT_PATTERN_METADATA                                                                                                             0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRI$_ADV_SQLW_SUM                                                                                                                         0          0           0
WRI$_ADV_SQLW_STMTS                                                                                                                       0          0           0
DBMS_PARALLEL_EXECUTE_TASK$                                                                                                               0          0           0
DBMS_PARALLEL_EXECUTE_CHUNKS$                                                                                                             0          0           0
DBFS$_STORES                                                                                                                              0          0           0
DBFS$_MOUNTS                                                                                                                              0          0           0
DBFS$_CLIENTS                                                                                                                             0          0           0
DBFS$_STATS                                                                                                                               0          0           0
DBFS_SFS$_TAB                                                                                                                             0          0           0
DBFS_SFS$_VOL                                                                                                                             0          0           0
DBFS_SFS$_SNAP                                                                                                                            0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
DBFS_SFS$_FS                                                                                                                              0          0           0
DBFS_SFS$_FST                                                                                                                             0          0           0
DBFS_SFS$_FSTP                                                                                                                            0          0           0
DBFS_SFS$_FSTO                                                                                                                            0          0           0
DBFS_HS$_FS                                                                                                                               0          0           0
DBFS_HS$_PROPERTY                                                                                                                         0          0           0
DBFS_HS$_SFLOCATORTABLE                                                                                                                   0          0           0
DBFS_HS$_BACKUPFILETABLE                                                                                                                  0          0           0
DBFS_HS$_CONTENTFNMAPTBL                                                                                                                  0          0           0
DBFS_HS$_STORECOMMANDS                                                                                                                    0          0           0
DBFS_HS$_STOREID2POLICYCTX                                                                                                                0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
DBFS_HS$_STOREPROPERTIES                                                                                                                  0          0           0
WRI$_ADV_SQLW_TABLES                                                                                                                      0          0           0
WRI$_ADV_SQLW_TABVOL                                                                                                                      0          0           0
WRI$_ADV_SQLW_COLVOL                                                                                                                      0          0           0
WRI$_ADV_SQLA_MAP                                                                                                                         0          0           0
WRI$_ADV_SQLA_SUM                                                                                                                         0          0           0
WRI$_ADV_SQLA_STMTS                                                                                                                       0          0           0
WRI$_ADV_SQLA_TABLES                                                                                                                      0          0           0
WRI$_ADV_SQLA_TABVOL                                                                                                                      0          0           0
WRI$_ADV_SQLA_COLVOL                                                                                                                      0          0           0
WRI$_ADV_SQLA_TMP                                                                                                                         0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRI$_ADV_SQLA_FAKE_REG                                                                                                                    0          0           0
DBFS_HS$_STOREIDTABLE                                                                                                                     0          0           0
XS$WORKSPACE                                                                                                                              1          1          22
XS$TENANT                                                                                                                                 1          1          21
XS$OBJ                                                                                                                                   61          1          48
XS$PRIN                                                                                                                                  15          1         124
XS$ROLE_GRANT                                                                                                                             0          0           0
XS$PROXY_ROLE                                                                                                                             0          0           0
XS$SECCLS                                                                                                                                 7          1          51
XS$SECCLS_H                                                                                                                               1          1          14
XS$PRIV                                                                                                                                  30          1          78

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
XS$AGGR_PRIV                                                                                                                             12          1          21
XS$ACL                                                                                                                                    7          1          72
XS$ACE                                                                                                                                   18          1          28
XS$ACE_PRIV                                                                                                                              18          1          17
XS$DSEC                                                                                                                                   0          0           0
XS$POLICY_PARAM                                                                                                                           0          0           0
XS$ACL_PARAM                                                                                                                              0          0           0
XS$ATTR_SEC                                                                                                                               0          0           0
XS$INSTSET_LIST                                                                                                                           0          0           0
XS$INSTSET_RULE                                                                                                                           0          0           0
XS$INSTSET_ACL                                                                                                                            0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
XS$INSTSET_INH                                                                                                                            0          0           0
XS$INSTSET_INH_KEY                                                                                                                        0          0           0
XS$OLAP_POLICY                                                                                                                            0          0           0
XS$ROLESET                                                                                                                                0          0           0
XS$ROLESET_ROLES                                                                                                                          0          0           0
XS$NSTMPL                                                                                                                                 1          1          78
XS$NSTMPL_ATTR                                                                                                                           17          1          43
RXS$SESSIONS                                                                                                                              0          0           0
RXS$SESSION_ROLES                                                                                                                         0          0           0
RXS$SESSION_APPNS                                                                                                                         0          0           0
XS$CACHE_ACTIONS                                                                                                                          7          1          14

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
XS$CACHE_DELETE                                                                                                                           0          0           0
NACL$_HOST                                                                                                                                2          1          13
NACL$_WALLET                                                                                                                              0          0           0
NACL$_NAME_MAP                                                                                                                            2          1          48
PRIV_CAPTURE$                                                                                                                             1          5          24
CAPTURE_RUN_LOG$                                                                                                                          0          0           0
CAPTURED_PRIV$                                                                                                                            0          0           0
PRIV_USED_PATH$                                                                                                                           0          0           0
PRIV_UNUSED$                                                                                                                              0          0           0
PRIV_UNUSED_PATH$                                                                                                                         0          0           0
UNUSED_GRANT$                                                                                                                             0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
WRR$_MASKING_DEFINITION                                                                                                                   0          0           0
WRR$_MASKING_PARAMETERS                                                                                                                   0          0           0
WRI$_STS_GRANULES                                                                                                                         0          0           0
WRI$_STS_SENSITIVE_SQL                                                                                                                    0          0           0
WRI$_MASKING_SCRIPT_PROGRESS                                                                                                              0          0           0
WRI$_STS_MASKING_STEP_PROGRESS                                                                                                            0          0           0
WRR$_MASKING_FILE_PROGRESS                                                                                                                0          0           0
WRR$_MASKING_BIND_CACHE                                                                                                                   0          0           0
WRI$_STS_MASKING_ERRORS                                                                                                                   0          0           0
WRI$_STS_MASKING_EXCEPTIONS                                                                                                               0          0           0
OPATCH_XML_INV                                                                                                                            1          1        4001

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
OPATCH_XINV_TAB                                                                                                                           1          5         146
OPATCH_INST_JOB                                                                                                                           0          0           0
OPATCH_INST_PATCH                                                                                                                         0          0           0
