
TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
ARGUMENT$                                                                                                                            105302       1231          75
SOURCE$                                                                                                                              287409       4632          89
IDL_UB1$                                                                                                                              61829      46359          18
IDL_CHAR$                                                                                                                              6132       1113          21
IDL_UB2$                                                                                                                              12887       3648          21
IDL_SB4$                                                                                                                              17099        546          19

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
ERROR$                                                                                                                                    0          1           0
SETTINGS$                                                                                                                             50104        265          32
NCOMP_DLL$                                                                                                                                0          0           0
PROCEDUREJAVA$                                                                                                                          660         31         241
PROCEDUREC$                                                                                                                            2028          5          11
PROCEDUREPLSQL$                                                                                                                       17365         44          11
WARNING_SETTINGS$                                                                                                                      6258         20          12
DIANA_VERSION$                                                                                                                            0          0           0
PLSCOPE_IDENTIFIER$                                                                                                                    2065         20          47
PLSCOPE_ACTION$                                                                                                                        5486         58          65
PLSCOPE_SQL$                                                                                                                             18          5         240

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
PLSCOPE_STATEMENT$                                                                                                                       18          5          57
PENDING_TRANS$                                                                                                                            0          0           0
PENDING_SESSIONS$                                                                                                                         0          0           0
PENDING_SUB_SESSIONS$                                                                                                                     0          0           0
SMON_SCN_TIME                                                                                                                           930        244        1109
MAP_FILE$                                                                                                                                 0          0           0
MAP_FILE_EXTENT$                                                                                                                          0          0           0
MAP_SUBELEMENT$                                                                                                                           0          0           0
MAP_ELEMENT$                                                                                                                              0          0           0
MAP_EXTELEMENT$                                                                                                                           0          0           0
MAP_COMPLIST$                                                                                                                             0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
PROFILE$                                                                                                                                 36          1          13
PROFNAME$                                                                                                                                 2          1          25
RESOURCE_COST$                                                                                                                           10          1           5
JOB$                                                                                                                                      0          0           0
RESOURCE_MAP                                                                                                                             17          1          23
USER_ASTATUS_MAP                                                                                                                          9          1          19
RESOURCE_PLAN$                                                                                                                           21          1         247
RESOURCE_CONSUMER_GROUP$                                                                                                                 18          1          93
RESOURCE_CATEGORY$                                                                                                                        5          1          51
RESOURCE_PLAN_DIRECTIVE$                                                                                                                 93          4         282
RESOURCE_GROUP_MAPPING$                                                                                                                   6          1          40

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
RESOURCE_MAPPING_PRIORITY$                                                                                                               11          1          24
RESOURCE_STORAGE_POOL_MAPPING$                                                                                                            3          1          33
RESOURCE_CAPABILITY$                                                                                                                      1          1          10
RESOURCE_INSTANCE_CAPABILITY$                                                                                                             0          0           0
RESOURCE_IO_CALIBRATE$                                                                                                                    0          0           0
